Date,Daily_Closing,Weekly_average,Monthly_average,Weekly_var,Monthly_var
2019-08-14,120.9,121.8,145.18,279.57,279.57
2019-08-16,121.35,121.46,143.81,287.11,287.11
2019-08-19,120.8,121.21,142.33,287.34,287.34
2019-08-20,123.85,122.14,141.12,286.59,286.59
2019-08-21,112.4,120.47,139.72,306.78,306.78
2019-08-22,107.7,118.42,138.11,330.55,330.55
2019-08-23,111.05,116.86,136.76,347.59,347.59
2019-08-26,110.55,115.39,135.22,354.97,354.97
2019-08-27,120.35,115.24,133.92,340.85,340.85
2019-08-28,116.35,114.61,132.43,324.02,324.02
2019-08-29,114.3,113.24,130.58,283.12,283.12
2019-08-30,116.7,113.86,128.87,238.72,238.72
2019-09-03,112.65,114.56,127.27,210.08,210.08
2019-09-04,109.5,114.34,125.76,192.37,192.37
2019-09-05,118.05,115.41,124.47,159.57,159.57
2019-09-06,121.25,115.54,123.3,123.79,123.79
2019-09-09,121.9,116.34,122.32,95.93,95.93
2019-09-11,134.35,119.2,121.99,84.15,84.15
2019-09-12,127.95,120.81,121.35,63.12,63.12
2019-09-13,129.55,123.22,121.08,56.32,56.32
2019-09-16,128.6,125.95,120.92,52.96,52.96
2019-09-17,122.0,126.51,120.47,45.36,45.36
2019-09-18,121.75,126.59,120.21,42.5,42.5
2019-09-19,124.2,126.91,119.99,39.21,39.21
2019-09-20,133.25,126.76,120.31,44.68,44.68
2019-09-23,127.9,126.75,120.49,46.47,46.47
2019-09-24,130.9,126.94,120.94,49.67,49.67
2019-09-25,123.05,126.15,120.91,49.49,49.49
2019-09-26,124.5,126.51,120.99,49.88,49.88
2019-09-27,119.9,126.24,120.92,49.88,49.88
2019-09-30,117.45,125.28,120.8,50.29,50.29
2019-10-01,115.3,122.71,120.6,51.28,51.28
2019-10-03,122.4,121.93,120.66,51.39,51.39
2019-10-04,119.65,120.32,120.52,51.05,51.05
2019-10-07,117.5,119.53,120.69,49.06,49.06
2019-10-09,120.9,119.01,121.13,43.05,43.05
2019-10-10,116.8,118.57,121.32,40.15,40.15
2019-10-11,121.3,119.12,121.68,36.02,36.02
2019-10-14,127.85,120.91,121.93,37.21,37.21
2019-10-15,126.95,121.56,122.28,36.88,36.88
2019-10-16,125.85,122.45,122.66,34.98,34.98
2019-10-17,139.5,125.59,123.42,42.93,42.93
2019-10-18,136.85,127.87,124.23,44.47,44.47
2019-10-22,131.75,130.01,124.97,38.37,38.37
2019-10-23,132.65,131.63,125.46,38.5,38.5
2019-10-24,133.5,132.44,125.87,39.95,39.95
2019-10-25,126.85,132.42,126.03,39.41,39.41
2019-10-29,172.45,139.08,127.3,109.66,109.66
2019-10-30,171.9,143.71,128.77,176.01,176.01
2019-10-31,177.7,149.54,130.37,255.89,255.89
2019-11-01,175.05,155.73,131.92,322.13,322.13
2019-11-04,172.2,161.38,133.59,371.79,371.79
2019-11-05,172.0,166.88,135.27,414.92,414.92
2019-11-06,174.5,173.69,136.94,460.86,460.86
2019-11-07,171.5,173.55,138.22,499.88,499.88
2019-11-08,169.05,173.14,139.59,527.04,527.04
2019-11-11,172.0,172.33,140.96,558.71,558.71
2019-11-13,170.6,171.69,142.55,575.34,575.34
2019-11-14,167.05,170.96,143.97,582.73,582.73
2019-11-15,168.55,170.46,145.59,580.88,580.88
2019-11-18,170.1,169.84,147.34,571.12,571.12
2019-11-19,167.75,169.3,149.09,546.91,546.91
2019-11-20,167.4,169.06,150.59,531.58,531.58
2019-11-21,164.15,167.94,152.07,502.64,502.64
2019-11-22,162.35,166.76,153.57,462.75,462.75
2019-11-25,166.1,166.63,155.08,429.02,429.02
2019-11-26,163.4,165.89,156.63,378.39,378.39
2019-11-27,165.9,165.29,158.11,336.03,336.03
2019-11-28,164.8,164.87,159.35,304.42,304.42
2019-11-29,161.5,164.03,160.5,267.02,267.02
2019-12-02,161.05,163.59,161.67,224.21,224.21
2019-12-03,158.2,162.99,162.29,207.27,207.27
2019-12-04,169.4,163.46,163.38,185.47,185.47
